source_id,name,url,type,expected_material,accessed_date,raw_price_candidates,candidate_count,status
additiveplus_316l,Additive Plus 316L LPBF powder,https://additiveplus.com/product/316l-stainless-steel-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,public_list,316L,2026-08-24,$35.0;$54.0;$665.0;$665.0;$720.0;$11391.0;$69920.0;$545.0;$80.0;$2050.0;$75.0;$370.0;$1550.0;$485.0;$1334.0;$0.0,16,ok
additiveplus_ti64,Additive Plus Ti-6Al-4V LPBF powder,https://additiveplus.com/product/a-powder-ti-6al-4v-ti64-titanium-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,public_list,Ti-6Al-4V,2026-08-24,$35.0;$54.0;$1220.0;$415.0;$1130.0;$1750.0;$550.0;$139.0;$225.0;$0.0,10,ok
additiveplus_in718,Additive Plus Inconel 718 LPBF powder,https://additiveplus.com/product/a-powder-inconel-718-nickel-superalloy-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,public_list,Inconel 718,2026-08-24,$35.0;$54.0;$1090.0;$1090.0;$484.0;$360.0;$480.0;$264.0;$120.0;$1220.0;$0.0,11,ok
additiveplus_alsi10mg,Additive Plus AlSi10Mg LPBF powder,https://additiveplus.com/product/a-powder-alsi10mg-aluminum-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,public_list,AlSi10Mg,2026-08-24,$35.0;$54.0;$580.0;$580.0;$269.0;$274.0;$427.0;$80.0;$1820.0;$75.0;$279.0;$0.0,12,ok
qualloy_alsi10mg,Qualloy AlSi10Mg,https://qualloy.com/materials/aluminium/AlSi10Mg-20-63-1,public_list,AlSi10Mg,2026-08-24,€21.65;€26.32;€25.06;€23.88;€22.73;€21.65,6,ok
renishaw_powders,Renishaw AM powders category,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,request_quote,mixed,2026-08-24,,0,ok
prusament_pla,Prusament PLA material page,https://prusament.com/materials/pla/,public_list,PLA filament,2026-08-24,,0,ok
matterhackers_nylonx,MatterHackers NylonX PA12-CF filament,https://www.matterhackers.com/store/3d-printer-filament/nylonx-carbon-fiber-nylon-filament-1.75mm,public_list,PA12-CF filament,2026-08-24,$35.0;$35.0;$1.89;$63.0;$63.0;$63.0;$62.37;$62.37;$59.59;$59.59;$57.33;$57.33;$56.7;$56.7;$56.07;$56.07;$56.07;$56.07;$55.44;$27.0,36,ok
polymaker_fiberon,Polymaker Fiberon engineering filament collection,https://shop.polymaker.com/collections/fiberon,public_list,engineering composite filaments,2026-08-24,$35.0;$19.99;$39.99;$24.99;$29.99;$34.99;$19.99;$69.99;$29.99;$32.99;$69.99;$59.99;$64.99;$35.0;$0.0,15,ok
formfutura_asa,FormFutura ASA filament collection,https://www.formfutura.com/filaments/asa,public_list,ASA filament,2026-08-24,€2892.0;€2686.0;€2475.0;€3302.0;€3302.0;€2475.0;€2892.0,7,ok
formlabs_grey_v5_3dcut,Formlabs Grey Resin V5 reseller page,https://www.3dcut.it/en/prodotto/formlabs-grey-resin-v5-1-l/,public_list,SLA resin,2026-08-24,,0,ok
eos_pa2200,EOS PA 2200 Polyamide 12,https://store.eos.info/products/pa-2200-polyamide-12,request_quote,PA12 powder,2026-08-24,€0.0,1,ok
hp_pa12,HP High Reusability PA12 materials page,https://www.hp.com/it-it/printers/3d-printers/high-reusability-3d-printing-plastic-materials.html,request_quote,PA12 MJF powder,2026-08-24,,0,ok
carlroth_ultrasint_pa11,Carl Roth Ultrasint PA11 5 kg,https://www.carlroth.com/com/en/pa11/ultrasint-pa-11/p/26xl.3,public_list,PA11 powder,2026-08-24,€661.15;€628.09;€595.04;€2417.7;€2417.7;€181.7;€181.7;€661.15;€661.15,9,ok
