record_id,completeness,warning_count,missing_fields
MET-FE-316L-AP-001,100,0,
MET-FE-316L-WURTH-001,91,0,manufacturer;production_route
MET-AL-ALSI10MG-AP-001,91,1,psd_um;production_route
MET-AL-ALSI10MG-QUA-001,87,0,manufacturer;production_route;package_price
MET-TI-TI64-G5-AP-001,100,0,
MET-TI-TI64-G23-AP-001,100,0,
MET-NI-IN718-AP-001,100,0,
POL-PA12-AP-001,96,1,psd_um
POL-PA12-MIC-001,87,1,psd_um;particle_shape;package_price
MET-FE-316L-REN-001,78,1,psd_um;production_route;package_price;package_quantity;package_unit
MET-NI-IN625-REN-001,78,1,psd_um;production_route;package_price;package_quantity;package_unit
MET-FE-MARAGING-REN-001,78,1,psd_um;production_route;package_price;package_quantity;package_unit
FIL-PLA-PRUSAMENT-001,100,0,
FIL-PLA-PRUSAMENT-2KG-001,100,0,
FIL-PA12CF-NYLONX-MH-001,95,0,density_g_cm3
FIL-PA6CF-POLYMAKER-001,91,0,density_g_cm3;package_quantity
FIL-PPSCF-POLYMAKER-001,91,0,density_g_cm3;package_quantity
FIL-ASACF-POLYMAKER-001,91,0,density_g_cm3;package_quantity
FIL-ASA-FORMFUTURA-APOLLOX-001,91,0,density_g_cm3;package_quantity
RES-SLA-FORMLABS-GREY-V5-001,100,0,
POW-PA12-HP-MJF-001,83,1,psd_um;density_g_cm3;currency;package_price
POW-PA12-EOS-PA2200-001,87,0,currency;package_price;package_quantity
POW-PA11-BASF-ULTRASINT-001,96,1,psd_um
POW-PA11CF-BASF-F2P-001,87,1,psd_um;density_g_cm3;package_quantity
PEL-PLA-FORMFUTURA-EASYFIL-001,95,0,package_quantity
WIRE-AL-ER4043-DED-001,81,0,source_url;currency;package_price;package_quantity
SLU-ALUMINA-LITHOZ-001,81,0,source_url;currency;package_price;package_quantity
